year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2022,New Jersey,NJ,2645539,7255588,0.11259999999999999,12537,0,0,12537,NA,6426071,0.4117,0.36460000000000004,midterm
2022,New Mexico,NM,714754,1656613,0.06280000000000001,3666,6513,2496,12675,NA,1539903,0.4642,0.4315,midterm
2022,New York,NY,5962278,15633935,0.1025,30192,0,0,30192,NA,14001265,0.42579999999999996,0.3814,midterm
2022,North Carolina,NC,3790202,8411001,0.0545,29607,0,0,29607,NA,7922995,0.47839999999999994,0.4506,midterm
2022,North Dakota,ND,242566,596109,0.0316,1390,0,0,1390,NA,575882,0.4212,0.40690000000000004,midterm
2022,Ohio,OH,4201368,9180896,0.0256,44788,0,0,44788,NA,8901077,0.47200000000000003,0.45760000000000006,midterm
2022,Oklahoma,OK,1153284,3064908,0.043899999999999995,22941,14495,1818,39254,NA,2891104,0.39890000000000003,0.3763,midterm
2022,Oregon,OR,1997689,3396232,0.0605,12167,0,0,12167,NA,3178593,0.6285,0.5882000000000001,midterm
2022,Pennsylvania,PA,5410022,10323843,0.036699999999999997,37910,0,0,37910,NA,9907048,0.5461,0.524,midterm
2022,Rhode Island,RI,361449,889425,0.076,2075,0,0,2075,NA,819753,0.4409,0.4064,midterm
2022,South Carolina,SC,1718626,4175307,0.0304,16248,16985,4019,37252,NA,4011126,0.42849999999999994,0.4116,midterm
2022,South Dakota,SD,354670,691460,0.018500000000000003,2933,3744,3611,10288,NA,668380,0.5306000000000001,0.5129,midterm
2022,Tennessee,TN,1756397,5508108,0.0353,16590,38357,12816,67763,NA,5245909,0.3348,0.3189,midterm
2022,Texas,TX,8151590,22656456,0.1171,139380,236717,104277,480374,NA,19523011,0.4175,0.35979999999999995,midterm
2022,Utah,UT,1084634,2454289,0.0642,5991,0,0,5991,NA,2290732,0.4734999999999999,0.44190000000000007,midterm
2022,Vermont,VT,291955,531550,0.016,0,0,0,0,NA,523045,0.5582,0.5493,midterm
2022,Virginia,VA,3021956,6805250,0.0596,26498,39416,1917,67831,NA,6331826,0.47730000000000006,0.44409999999999994,midterm
2022,Washington,WA,3067686,6133923,0.08990000000000001,13762,0,0,13762,NA,5568721,0.5509000000000001,0.5001,midterm
2022,West Virginia,WV,494753,1418697,0.009000000000000001,5436,3965,3207,12608,NA,1393321,0.35509999999999997,0.34869999999999995,midterm
2022,Wisconsin,WI,2673154,4640711,0.03,20839,25838,22965,69642,NA,4431848,0.6032,0.5760000000000001,midterm
2022,Wyoming,WY,198198,451876,0.019799999999999998,2154,3049,868,6071,NA,436858,0.4537,0.4386,midterm
2020,Alabama,AL,2325000,3939759,0.023,25328,24652,8245,66284,NA,3782861,0.6146,0.5901,presidential
2020,Alaska,AK,361400,556443,0.035,4578,1268,1003,7263,NA,529649,0.6823,0.6495000000000001,presidential
2020,Arizona,AZ,3420585,5672442,0.079,34997,37932,6887,92217,NA,5133804,0.6663,0.603,presidential
2020,Arkansas,AR,1223675,2332442,0.036000000000000004,15850,20733,25852,69213,NA,2178328,0.5617,0.5246,presidential
2020,California,CA,17785151,30490123,0.146,97328,0,110349,207677,NA,25840035,0.6883,0.5832999999999999,presidential
2020,Colorado,CO,3295666,4579181,0.057999999999999996,14990,0,0,14990,NA,4297225,0.7669,0.7197,presidential
2020,Connecticut,CT,1861086,2887773,0.076,9297,0,4080,13377,NA,2655214,0.7009000000000001,0.6445000000000001,presidential
2020,Delaware,DE,509241,798104,0.051,4653,5278,373,12030,NA,745131,0.6834,0.6381,presidential
2020,District of Columbia,DC,346491,544795,0.077,0,0,0,0,NA,503118,0.6886999999999999,0.636,presidential
2020,Florida,FL,11144855,17593558,0.094,75977,93389,4280,204177,NA,15742624,0.7079000000000001,0.6335,presidential
2020,Georgia,GA,5023159,8282660,0.059000000000000004,44796,177546,19447,299832,NA,7490838,0.6706,0.6065,presidential
2020,Hawaii,HI,579784,1145618,0.08199999999999999,4097,0,0,4097,NA,1047466,0.5535,0.5061,presidential
2020,Idaho,ID,878527,1443536,0.04,7996,14257,5967,32881,NA,1352914,0.6494000000000001,0.6086,presidential
2020,Illinois,IL,6050000,9910732,0.079,28582,0,0,28582,NA,9095238,0.6652,0.6103999999999999,presidential
2020,Indiana,IN,3068542,5240144,0.037000000000000005,23458,0,0,23458,NA,5025421,0.6106,0.5856,presidential
2020,Iowa,IA,1700130,2469708,0.031,8128,12916,7261,32528,NA,2360125,0.7204,0.6884,presidential
2020,Kansas,KS,1375125,2242018,0.047,8477,8254,5428,24858,NA,2112458,0.6509999999999999,0.6133,presidential
