Year,Total,Elementary_0_4,Elementary_5_8,High_1_3,High_4,College_1_3,College_4,Median,High_4_Percent,College_4_Percent,Growth_Total,Growth_High_4,Growth_College_4
1994,164512,3156,11359,16925,56515,40014,36544,N,34.35311709784089,22.21357712507294,1.0354611671354697,-1.864939484971088,2.6805282382691766
1995,166438,3074,10873,16566,56450,41249,38226,N,33.916533483939965,22.96711087612204,1.1707352655125463,-0.11501371317349376,4.602670753064799
1996,168323,3027,10595,17102,56559,41372,39668,N,33.601468605003475,23.566595177129685,1.1325538639012727,0.19309123117803365,3.7723015748443465
1997,170581,2840,10472,17211,57586,41774,40697,N,33.75874218113389,23.857873971896048,1.3414684861843005,1.8158029668134161,2.5940304527578903
1998,172211,2834,9948,16776,58174,42506,41973,N,33.78065280382786,24.3730075314585,0.9555577702088744,1.0210815128677109,3.1353662432120304
1999,173754,2742,9655,16443,57935,43176,43803,N,33.34311728075325,25.209779343209366,0.895993867987527,-0.41083645614879494,4.359945679365306
2000,175230,2742,9438,15674,58086,44445,44845,N,33.14843348741654,25.592078981909488,0.8494768465761939,0.26063692068697675,2.3788325000570736
2001,180389,2810,9518,16279,58272,46281,47228,N,32.303521833371214,26.181197301387556,2.9441305712492154,0.3202148538374135,5.31385884714015
2002,182142,2902,9668,16378,58456,46042,48696,N,32.09364122497831,26.735184636162995,0.9717887454334798,0.31576057111477207,3.108325569577369
2003,185183,2915,9361,16323,59292,46910,50383,N,32.018057813082194,27.207141044264322,1.6695764842814949,1.4301354865197755,3.464350254641038
2004,186876,2858,8888,15999,59811,47571,51749,N,32.00571501958518,27.69162439264539,0.9142307879232975,0.8753288807933617,2.7112319631621777
2005,189367,2983,8935,16099,60893,48076,52381,N,32.15607788051773,27.661102515221764,1.3329694556818423,1.8090317834512049,1.2212796382538793
2006,191884,2951,8791,16154,60898,49371,53720,N,31.736882699964564,27.996080965583374,1.3291650604381966,0.008211124431379632,2.5562704033905423
2007,194318,2830,8462,16451,61490,49243,55842,N,31.644006216614002,28.73743039759569,1.2684747034666777,0.9721173109133304,3.950111690245719
2008,196305,2599,8226,15516,61183,50994,57787,N,31.16731616616999,29.43735513614019,1.0225506643748907,-0.49926817368677834,3.4830414383438986
2009,198285,2785,8043,15587,61626,51670,58574,N,31.07950677055753,29.5403081423204,1.0086345228088944,0.7240573361881568,1.3618980047415508
2010,199928,2615,7836,15260,62456,51920,59840,N,31.239246128606297,29.93077507902845,0.8286052903648788,1.3468341284522767,2.1613685252842556
2011,201543,2589,7688,14763,61911,53249,61343,N,30.718506720650186,30.436681006038413,0.8077908046896882,-0.872614320481619,2.511697860962567
2012,204579,2484,7800,14993,62113,53900,63291,N,30.36137628984402,30.937192967020078,1.5063782914812225,0.3262748138456817,3.175586456482402
2013,206899,2344,7578,14595,61704,55173,65506,N,29.823247091576082,31.660858679838956,1.1340362402788164,-0.6584772913882762,3.499707699356939
2014,209287,2525,7388,14545,62240,55709,66879,N,29.73906644942113,31.9556398629633,1.1541863421282847,0.8686632957344743,2.095991206912344
2015,212132,2601,7295,14686,62575,56031,68945,N,29.49814266588728,32.50098994965399,1.359377314405577,0.5382390745501285,3.08916102214447
2016,215015,2414,7078,13961,62002,57660,71900,N,28.836127712020094,33.43952747482734,1.359059453547791,-0.9157011586096685,4.2860250924650085
2017,216921,2208,6600,13734,62512,57765,74103,N,28.817864568206858,34.161284522936924,0.8864497825733089,0.8225541111577046,3.0639777468706537
2018,219830,2129,6600,13682,62685,57810,76924,N,28.515216303507255,34.99249420006368,1.3410412085505783,0.2767468646019964,3.8068634198345546
2019,221478,2181,6422,13372,62259,57428,79816,N,28.110692709885406,36.03789089661276,0.749670199699768,-0.6795884182818855,3.7595548853413754
2020,223058,2106,5788,12313,61597,57552,83701,N,27.61479077190686,37.52432102861139,0.7133891402306324,-1.0633000851282546,4.867445123784705
2021,224580,2074,5862,12118,62547,56942,85037,N,27.85065455516965,37.86490337518924,0.6823337427933541,1.542282903388152,1.596157751998184
2022,226274,2203,5732,11998,64465,56659,85217,N,28.489795557598306,37.660977399082526,0.7542969097871582,3.066493996514621,0.21167256605948
2023,227700,2022,6018,11490,64110,56730,87310,N,28.155467720685113,38.34431269213878,0.6302093921528766,-0.5506864189870472,2.4560827065022237
2024,229800,2125,5918,11600,64010,57230,88890,N,27.854656222802436,38.68146214099217,0.922266139657444,-0.15598190609889254,1.8096437979612874
